Player,Last Name,Position,Team,Pick,Round
JuJu,Smith-Schuster,WR,KC,115,12
Drake,London,WR,ATL,118,13
D.J.,Chark,WR,DET,119,13
Michael,Thomas,WR,NO,120,13
Christian,Kirk,WR,JAX,122,13
Michael,Gallup,WR,DAL,129,14
Van,Jefferson,WR,LAR,133,14
Rashod,Bateman,WR,BAL,136,14
Mecole,Hardman,WR,KC,137,14
Garrett,Wilson,WR,NYJ,140,14
DeVante,Parker,WR,NE,144,14
Russell,Gage,WR,TB,149,15
Treylon,Burks,WR,TEN,152,15
Chris,Olave,WR,NO,153,15
Tyler,Boyd,WR,CIN,154,15
Corey,Davis,WR,NYJ,164,15
Allen,Lazard,WR,GB,165,15
Marquez,Valdes-Scantling,WR,KC,173,15
George,Pickens,WR,PIT,176,15
Kadarius,Toney,WR,NYG,177,15
Julio,Jones,WR,TB,178,15
Christian,Watson,WR,GB,180,15
Jakobi,Meyers,WR,NE,192,15
A.J.,Green,WR,ARI,200,15
Jameson,Williams,WR,DET,202,15
Odell,Beckham Jr.,WR,,205,15
Skyy,Moore,WR,KC,208,15
Jarvis,Landry,WR,NO,211,15
Kendrick,Bourne,WR,NE,212,15
Rondale,Moore,WR,ARI,214,15
Sammy,Watkins,WR,GB,215,15
Kenny,Golladay,WR,NYG,217,15
Randall,Cobb,WR,GB,218,15
Robbie,Anderson,WR,CAR,228,16
Marvin,Jones,WR,JAX,230,16
Marquez,Callaway,WR,NO,240,16
Tim,Patrick,WR,DEN,241,16
Donovan,Peoples-Jones,WR,CLE,244,16
K.J.,Osborn,WR,MIN,246,16
Jamison,Crowder,WR,BUF,249,16
Jalen,Tolbert,WR,DAL,254,16
Romeo,Doubs,WR,GB,256,16
Isaiah,McKenzie,WR,BUF,260,16
Ced,Wilson,WR,MIA,262,16
Jahan,Dotson,WR,WAS,263,16
Byron,Pringle,WR,CHI,264,16
Quez,Watkins,WR,PHI,269,16
Nelson,Agholor,WR,NE,272,16
Alec,Pierce,WR,IND,274,16
Jauan,Jennings,WR,SF,284,16
Josh,Palmer,WR,LAC,296,16
Sterling,Shepard,WR,NYG,297,16
Demarcus,Robinson,WR,,298,16
Wan'Dale,Robinson,WR,NYG,301,16
Calvin,Austin III,WR,PIT,306,16
Curtis,Samuel,WR,WAS,309,16
Tyquan,Thornton,WR,NE,310,16
Deonte,Harty,WR,NO,313,16
Devin,Duvernay,WR,BAL,315,16
Calvin,Ridley,WR,ATL,317,16
Nico,Collins,WR,HOU,318,16
Amari,Rodgers,WR,GB,322,16
Laviska,Shenault Jr.,WR,JAX,324,16
Jalen,Guyton,WR,LAC,329,16
Rashard,Higgins,WR,CAR,332,16
Zay,Jones,WR,JAX,333,16
James,Washington,WR,DAL,335,16
Jalen,Reagor,WR,PHI,336,16
Tre'Quan,Smith,WR,NO,343,16
K.J.,Hamler,WR,DEN,344,16
Noah,Brown,WR,DAL,345,16
Parris,Campbell,WR,IND,346,16
Zach,Pascal,WR,PHI,349,16
Ray-Ray,McCloud,WR,SF,350,16
Scott,Miller,WR,TB,353,16
Nick,Westbrook-Ikhine,WR,TEN,354,16
Darius,Slayton,WR,NYG,356,16
Emmanuel,Sanders,WR,,358,16
Mike,Thomas,WR,CIN,362,16
Kalif,Raymond,WR,DET,363,16
Velus,Jones,WR,CHI,364,16
Braxton,Berrios,WR,NYJ,367,16
Danny,Gray,WR,SF,369,16
Cole,Beasley,WR,,371,16
Freddie,Swain,WR,SEA,375,16
Terrace,Marshall Jr.,WR,CAR,385,16
Josh,Reynolds,WR,DET,388,16
Tyler,Johnson,WR,TB,389,16
James,Proche,WR,BAL,391,16
Juwann,Winfree,WR,GB,393,16
Jody,Fortson,WR,KC,397,16
Equanimeous,St.Brown,WR,CHI,398,16
Khalil,Shakir,WR,BUF,401,16
Ty,Montgomery,WR,NE,405,16
David,Bell,WR,CLE,406,16
Mack,Hollins,WR,LV,407,16
Juwan,Johnson,WR,NO,409,16
Ashton,Dulin,WR,IND,410,16
N'Keal,Harry,WR,CHI,411,16
Laquon,Treadwell,WR,JAX,413,16
Kendall,Hinton,WR,DEN,414,16
Jakeem,Grant,WR,CLE,415,16
Quintez,Cephus,WR,DET,423,16
John,Ross,WR,,438,16
Cyril,Grayson,WR,TB,440,16
Jamal,Agnew,WR,JAX,441,16
Anthony,Schwartz,WR,CLE,448,16
John,Metchie III,WR,HOU,450,16
Olamide,Zaccheaus,WR,ATL,451,16
Simi,Fehoko,WR,DAL,453,16
Tyron,Johnson,WR,LV,454,16
Auden,Tate,WR,ATL,460,16
Cam,Sims,WR,WAS,462,16
Dezmon,Patmon,WR,IND,464,16
Gunner,Olszewski,WR,PIT,468,16
Phillip,Dorsett,WR,HOU,471,16
Trent,Taylor,WR,CIN,474,16
Ihmir,Smith-Marsette,WR,MIN,477,16
Lil'Jordan,Humphrey,WR,NE,479,16
Antoine,Wesley,WR,ARI,482,16
Penny,Hart,WR,SEA,483,16
Jason,Moore,WR,LAC,485,16
Jaelon,Darden,WR,TB,486,16
Malik,Taylor,WR,GB,488,16
Trinity,Benson,WR,DET,489,16
Tom,Kennedy,WR,DET,492,16
Stanley,Morgan,WR,CIN,500,16
Denzel,Mims,WR,NYJ,509,16
Shi,Smith,WR,CAR,510,16
Seth,Williams,WR,DEN,511,16
Dez,Fitzpatrick,WR,TEN,512,16
Cody,White,WR,PIT,513,16
Landen,Akers,WR,LAR,515,16
Jordan,Matthews,WR,SF,516,16
Marquez,Stevenson,WR,BUF,517,16
David,Moore,WR,CHI,521,16
D.J.,Montgomery,WR,IND,525,16
Jeff,Smith,WR,NYJ,526,16
Trenton,Irwin,WR,CIN,528,16
Steven,Sims,WR,PIT,530,16
Dazz,Newsome,WR,CHI,531,16
Isaiah,Hodgins,WR,BUF,537,16
Omar,Bayless,WR,,538,16
